Sample_ID,Time_to_CSC_min,Time_to_PSC_min,Time_to_Clinic_min,Time_since_onset_min,CSC_Reachable,PSC_Reachable,Clinic_Reachable,Predicted_Label,Predicted_Action,Diff_CSC_PSC,Diff_CSC_Clinic,Diff_PSC_Clinic,Ratio_CSC_PSC,Ratio_CSC_Clinic,Ratio_PSC_Clinic,Fastest_Reachable_Hospital,Decision_Matches_Fastest_Reachable
16,39.22,39.99,7.95,16.51,true,true,true,1,Route_CSC,0.77,31.27,32.04,0.981,4.934,5.032,Clinic,false
17,48.62,54.74,5.82,169.45,true,true,true,3,Route_Clinic,6.13,42.8,48.92,0.888,8.351,9.404,Clinic,true
18,38.18,38.96,8.46,148.95,true,true,true,1,Route_CSC,0.78,29.72,30.5,0.98,4.514,4.605,Clinic,false
19,22.69,26.26,8.42,209.34,true,true,true,3,Route_Clinic,3.56,14.28,17.84,0.864,2.696,3.12,Clinic,true
20,12.09,17.53,21.09,244.61,true,true,true,3,Route_Clinic,5.43,8.99,3.56,0.69,0.573,0.831,CSC,false
21,57.8,43.33,15.29,171.75,true,true,true,3,Route_Clinic,14.47,42.51,28.04,1.334,3.781,2.834,Clinic,true
22,46.04,52.16,13.31,163.27,true,true,true,1,Route_CSC,6.13,32.73,38.85,0.883,3.458,3.919,Clinic,false
23,85.54,67.72,24.82,68.71,true,true,true,1,Route_CSC,17.82,60.72,42.89,1.263,3.446,2.728,Clinic,false
24,24.68,27.09,10.0,267.59,true,true,true,3,Route_Clinic,2.4,14.69,17.09,0.911,2.469,2.71,Clinic,true
25,39.14,45.26,25.3,109.59,true,true,true,1,Route_CSC,6.13,13.83,19.96,0.865,1.547,1.789,Clinic,false
26,46.01,46.78,11.16,19.69,true,true,true,1,Route_CSC,0.77,34.85,35.63,0.983,4.124,4.194,Clinic,false
27,33.32,17.65,4.64,215.58,true,true,true,3,Route_Clinic,15.67,28.68,13.01,1.888,7.188,3.808,Clinic,true
28,47.72,53.85,35.03,80.82,true,true,true,1,Route_CSC,6.13,12.69,18.82,0.886,1.362,1.537,Clinic,false
29,24.18,7.95,17.65,202.35,true,true,true,3,Route_Clinic,16.22,6.52,9.7,3.04,1.37,0.45,PSC,false
30,27.73,31.05,13.98,66.53,true,true,true,1,Route_CSC,3.32,13.76,17.08,0.893,1.984,2.222,Clinic,false
31,32.64,14.8,15.11,94.48,true,true,true,1,Route_CSC,17.84,17.53,0.31,2.205,2.16,0.98,PSC,false
32,56.96,62.41,14.67,221.36,true,true,true,3,Route_Clinic,5.45,42.28,47.74,0.913,3.882,4.253,Clinic,true
33,1.0e8,75.5,26.14,264.44,false,true,true,3,Route_Clinic,0.0,0.0,49.36,1.0,1.0,2.888,Clinic,true
34,64.52,46.69,18.69,45.1,true,true,true,1,Route_CSC,17.82,45.83,28.0,1.382,3.452,2.498,Clinic,false
35,37.18,19.84,3.48,14.76,true,true,true,1,Route_CSC,17.34,33.71,16.37,1.874,10.696,5.708,Clinic,false
36,35.89,21.42,4.31,235.07,true,true,true,3,Route_Clinic,14.47,31.59,17.12,1.675,8.337,4.976,Clinic,true
37,43.57,25.74,2.49,12.0,true,true,true,1,Route_CSC,17.83,41.07,23.25,1.693,17.473,10.324,Clinic,false
38,49.11,39.4,7.54,162.5,true,true,true,2,Route_PSC,9.71,41.56,31.85,1.246,6.509,5.222,Clinic,false
39,28.09,9.35,15.25,51.0,true,true,true,1,Route_CSC,18.74,12.84,5.9,3.003,1.842,0.613,PSC,false
